,sim_id,$\eta$,$\omega$,$D_r$
0,296,1.8,1.8469841051651126,1.1297277266245946
0,297,1.8,1.922982186118575,1.1788056146719224
0,298,1.8,1.8290402863589672,1.1652879768318223
0,299,1.8,1.8290402863589672,1.28611542363079
0,300,2.0,1.876016485325584,1.2331786241849203
0,301,2.0,1.8760178138814254,1.1641112257456685
0,302,2.0,1.8469841051651126,1.176692644415454
0,303,2.0,1.8760174666713199,1.1171995026852695
0,304,2.0,1.9212127373277512,1.1918581322556385
0,305,2.0,1.8760170850504847,1.129662780410401
0,306,2.0,1.8469841051651126,1.112110317563679
0,307,2.0,1.9140259980813614,1.1051933246795527
0,308,2.0,1.8469841051651126,1.1089327750474143
0,309,2.0,1.8760174666713199,1.0635425789169866
0,310,2.0,1.8760174666713199,1.1619168041910894
0,311,2.0,1.9030531533286428,1.1524354568528852
0,312,2.0,1.8469841051651126,1.121374682591559
0,313,2.0,1.8995132987749774,1.122689856168566
0,314,2.0,1.9084826402148298,1.052716748197513
0,315,2.0,1.8469841051651126,1.2181265606331961
0,316,2.0,1.8760174666713199,1.0340594680796962
0,317,2.0,1.8469841051651126,1.1204289096135207
0,318,2.0,1.8290402863589672,1.1087033820783854
0,319,2.0,1.8469724925923998,1.087547769916004
0,320,2.0,1.9084826402148298,1.1067682760646511
0,321,2.0,1.876016485325584,1.1112211630324662
0,322,2.0,1.9084826402148298,1.2318011097725081
0,323,2.0,1.8740786665759854,1.187275226663402
0,324,2.0,1.8995132987749774,1.2189890395505236
0,325,2.0,1.8995132987749774,1.1610628121708229
0,326,2.0,1.8469841051651126,1.2281766291533616
0,327,2.0,1.9174519816546822,1.1191873916305175
0,328,2.0,1.8469724925923998,1.256633959471686
0,329,2.0,1.8469841051651126,1.1718094473135412
