,sim_id,$p_s$,$D_r$
0,269,0.81,1.255736451886909
0,270,0.905,1.2521218610849825
0,271,0.905,1.350848709026522
0,272,0.905,1.26408471220009
0,273,0.905,1.1973719453434315
0,274,0.905,1.1968958575470516
0,275,0.905,1.1742683513147234
0,276,0.905,1.2113741707841714
0,277,0.905,1.3160479633512268
0,278,0.905,1.2335649952040237
0,279,0.905,1.2251220110997205
0,280,0.905,1.3752884099662337
0,281,0.905,1.3750110709607768
0,282,0.905,1.2229046136114583
0,283,0.905,1.2724883608528397
0,284,0.905,1.2597785172232485
0,285,0.905,1.1585361844348812
0,286,0.905,1.300494991925213
0,287,0.905,1.1755175723704279
0,288,0.905,1.2767371408539585
0,289,0.905,1.0609508064521196
0,290,0.905,1.4267697518823823
0,291,0.905,1.2374088897587576
0,292,0.905,1.242571124264649
0,293,0.905,1.188864871705031
0,294,0.905,1.1923050186138808
0,295,0.905,1.3030442284083494
0,296,0.905,1.4238240093318097
0,297,0.905,1.30282962055738
0,298,0.905,1.2272190317112073
0,299,0.905,1.4182753806595156
0,300,1.0,1.330112180992914
0,301,1.0,1.3029776688134027
0,302,1.0,1.2753566399158092
0,303,1.0,1.566778255778889
0,304,1.0,1.3128749714169823
0,305,1.0,1.325084564938187
0,306,1.0,1.4593995240756112
0,307,1.0,1.2781621900512672
0,308,1.0,1.4230227381355522
0,309,1.0,1.3800856698116701
0,310,1.0,1.5536832948202617
0,311,1.0,1.2191160992957302
0,312,1.0,1.4410670062785957
0,313,1.0,1.2006345867498993
0,314,1.0,1.4595969313161774
0,315,1.0,1.3293204016328997
0,316,1.0,1.258624068722456
0,317,1.0,1.2996311632681143
0,318,1.0,1.3833500146656998
0,319,1.0,1.5653057485851307
0,320,1.0,1.0880591231595989
0,321,1.0,1.1772915361109746
0,322,1.0,1.3016234397359285
0,323,1.0,1.3066447929749405
0,324,1.0,1.1033568259807776
0,325,1.0,1.3681936569762483
0,326,1.0,1.3079708444738556
0,327,1.0,1.429289625374805
0,328,1.0,1.3973281648061064
0,329,1.0,1.4329513718012779
